,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count
4194,2022-08-09 05:59:27+00:00,https://twitter.com/Methodiasjuma/status/1556882831741181952,Methodiasjuma,Twitter for Android,"Busia, Kenya","Make peace prevail as you vote for your preferred candidates.
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/pznh3trp2v",0,1,0,0
4195,2022-08-09 05:59:06+00:00,https://twitter.com/Methodiasjuma/status/1556882744604516352,Methodiasjuma,Twitter for Android,"Busia, Kenya","A better life for all!
#JustVote
#JustVoted
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/SY3USDiw5I",0,1,0,0
4196,2022-08-09 05:58:33+00:00,https://twitter.com/Methodiasjuma/status/1556882606460964864,Methodiasjuma,Twitter for Android,"Busia, Kenya","A rallying cry that we should turn out in large numbers to change the destiny of our country.
#JustVote
#JustVoted
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/bzflyN1Jl0",0,1,0,0
4197,2022-08-09 05:58:14+00:00,https://twitter.com/TomJuma/status/1556882528669253632,TomJuma,Twitter for Android,,Blue is the color 🔵☑️ #RailaTheEnigma #RailaOdinga #RailaAmoloOdinga #Raila #KenyaDecides2022,2,0,0,0
4198,2022-08-09 05:57:45+00:00,https://twitter.com/Methodiasjuma/status/1556882405159469057,Methodiasjuma,Twitter for Android,"Busia, Kenya","Umevote? Unangoja nini?
#JustVote
#JustVoted
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/ivHr0D2qR9",0,1,0,0
4199,2022-08-09 05:57:23+00:00,https://twitter.com/Methodiasjuma/status/1556882311333003265,Methodiasjuma,Twitter for Android,"Busia, Kenya","Vote all together and transform our nation, make our great voices heard.
#JustVote
#JustVoted
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/EdEJ0C9USZ",2,1,0,0
4200,2022-08-09 05:57:15+00:00,https://twitter.com/Methodiasjuma/status/1556882277245882369,Methodiasjuma,Twitter for Android,"Busia, Kenya","Voting is an expression of our commitment to ourselves and one another. As we come out to vote, lets preach peace.
 #JustVote
#JustVoted
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/FS1a7QBT5d",8,8,0,0
4201,2022-08-09 05:57:04+00:00,https://twitter.com/Methodiasjuma/status/1556882231259455488,Methodiasjuma,Twitter for Android,"Busia, Kenya","This line is worth waiting for in order to cast your vote today! Vote for your preferred candidate.
#JustVote
#JustVoted
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/Qw2vIEj7BM",0,1,0,0
4202,2022-08-09 05:56:47+00:00,https://twitter.com/Methodiasjuma/status/1556882162808504320,Methodiasjuma,Twitter for Android,"Busia, Kenya","Twende tuVote! The ballot is stronger than the bullet!
#JustVote
#JustVoted
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/ch2XFqo7XF",1,3,0,0
4203,2022-08-09 05:56:40+00:00,https://twitter.com/Methodiasjuma/status/1556882130549997568,Methodiasjuma,Twitter for Android,"Busia, Kenya","As early as 5:00am I was on the line ready to cast my dice!
#JustVote
#JustVoted
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/oLRxl3DcpB",0,1,0,0
4204,2022-08-09 05:56:17+00:00,https://twitter.com/Methodiasjuma/status/1556882037910503424,Methodiasjuma,Twitter for Android,"Busia, Kenya","As a statesman it is significant to safeguard the interests of the next generation through voting. Its about time, VOTE!
#JustVote
#JustVote
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/6JIG8o2OHi",1,1,0,0
4205,2022-08-09 05:56:09+00:00,https://twitter.com/Methodiasjuma/status/1556882002380455937,Methodiasjuma,Twitter for Android,"Busia, Kenya","As we turn out in large numbers to vote, lets maintain peace and harmony.
#JustVoted
#JustVote
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/oZOT9aiXQy",0,1,0,0
4206,2022-08-09 05:55:34+00:00,https://twitter.com/Methodiasjuma/status/1556881853839286279,Methodiasjuma,Twitter for Android,"Busia, Kenya","Do you have trouble deciding on your leader of preference? Review the ballot guide before slotting in your leaders of choice.
#JustVoted
#JustVote
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/eqdk85uBrz",0,1,0,0
4207,2022-08-09 05:55:20+00:00,https://twitter.com/Methodiasjuma/status/1556881794997313536,Methodiasjuma,Twitter for Android,"Busia, Kenya","Vote for peace, vote for prosperity and make a difference today.
#JustVoted
#JustVote
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/fZhuk8tIWS",0,1,0,0
4208,2022-08-09 05:55:07+00:00,https://twitter.com/Methodiasjuma/status/1556881742266597376,Methodiasjuma,Twitter for Android,"Busia, Kenya","My vote is my choice...
#JustVote
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/wJ9DmN4Vt9",0,1,0,0
4209,2022-08-09 05:54:59+00:00,https://twitter.com/Methodiasjuma/status/1556881710834503680,Methodiasjuma,Twitter for Android,"Busia, Kenya","Its your civic duty as a citizen of this nation to be on the forefront by electing leaders of your choice
#JustVote
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/JACT41zLpN",0,1,0,0
4210,2022-08-09 05:54:47+00:00,https://twitter.com/Methodiasjuma/status/1556881657164087296,Methodiasjuma,Twitter for Android,"Busia, Kenya","If you don't vote someone else will. Go &amp; vote before someone else makes a decision for you.
#JustVote
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/yFikI087bF",0,1,0,0
4211,2022-08-09 05:54:33+00:00,https://twitter.com/Methodiasjuma/status/1556881599010045959,Methodiasjuma,Twitter for Android,"Busia, Kenya","What do you do after voting? Stay off the polling station and wait for the results to be announced.
#JustVote
#JustVoted
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/YxTQ7VfSmA",0,1,0,0
4212,2022-08-09 05:54:28+00:00,https://twitter.com/Methodiasjuma/status/1556881579439493122,Methodiasjuma,Twitter for Android,"Busia, Kenya","Chunga ID yako! Ishia uvote ju change ni sasa hivi.
#JustVoted
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/7s9yu1DS2v",0,1,0,0
4213,2022-08-09 05:54:23+00:00,https://twitter.com/Methodiasjuma/status/1556881555859070976,Methodiasjuma,Twitter for Android,"Busia, Kenya","Me walking into early voting like
#JustVote 
#JustVoted
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/WaeddsJaIr",10,10,0,0
4214,2022-08-09 05:53:55+00:00,https://twitter.com/Methodiasjuma/status/1556881438531850241,Methodiasjuma,Twitter for Android,"Busia, Kenya","Let's create a positive change by turning out in large numbers to voice our concerns through the ballot.
#JustVoted
#JustVoted
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/L4J6ggFGlX",3,4,0,0
4215,2022-08-09 05:53:26+00:00,https://twitter.com/Methodiasjuma/status/1556881320470519808,Methodiasjuma,Twitter for Android,"Busia, Kenya","Vote for yourself and the people around you! Remember when we geared to vote due to the rapid rise of Unga prices, Oil and living standards! Time is now!
#JustVote
#JustVoted
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/8FbWHPQgVZ",4,6,0,0
